County,State,"April 1, 1990 Population Estimates Base","July 1, 1990 Estimate",1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
Jones,Georgia,"20,739","20,801","20,955","21,287","21,469","21,680","22,072","22,322","22,700","23,111","23,437","23,639"
Lamar,Georgia,"13,038","13,056","13,275","13,561","13,608","13,944","14,115","14,328","14,870","15,215","15,593","15,912"
Lanier,Georgia,"5,531","5,537","5,686","5,773","5,982","6,181","6,395","6,717","6,907","7,156","7,170","7,241"
Laurens,Georgia,"39,988","39,987","40,473","41,032","41,746","42,370","42,953","43,490","43,791","44,264","44,573","44,874"
Lee,Georgia,"16,250","16,333","16,816","17,547","18,545","19,253","20,277","21,319","22,665","23,657","24,335","24,757"
Liberty,Georgia,"52,745","52,906","53,880","57,949","57,423","59,893","59,936","60,737","62,087","61,223","61,987","61,610"
Lincoln,Georgia,"7,442","7,465","7,525","7,633","7,824","7,868","7,970","8,039","8,101","8,227","8,313","8,348"
Long,Georgia,"6,202","6,341","6,278","7,123","7,369","7,916","8,532","9,029","9,390","9,812","10,108","10,304"
Lowndes,Georgia,"75,981","76,407","77,690","79,203","82,531","84,828","86,308","87,965","89,371","90,436","91,472","92,115"
Lumpkin,Georgia,"14,573","14,715","15,179","15,545","16,004","16,507","17,090","17,771","18,731","19,709","20,547","21,016"
McDuffie,Georgia,"20,119","20,148","20,357","20,713","20,715","20,827","21,045","20,948","21,086","21,141","21,212","21,231"
McIntosh,Georgia,"8,634","8,626","8,805","9,027","9,117","9,330","9,586","9,802","10,266","10,438","10,625","10,847"
Macon,Georgia,"13,114","13,118","13,235","13,156","13,325","13,461","13,676","13,700","13,940","13,977","14,029","14,074"
Madison,Georgia,"21,050","21,214","21,667","22,105","22,671","22,917","23,522","24,047","24,354","24,602","25,334","25,730"
Marion,Georgia,"5,590","5,583","5,698","5,762","6,082","6,305","6,501","6,524","6,711","6,910","7,020","7,144"
Meriwether,Georgia,"22,411","22,447","22,562","22,560","22,657","22,685","22,614","22,420","22,472","22,559","22,502","22,534"
Miller,Georgia,"6,280","6,273","6,306","6,310","6,292","6,293","6,274","6,283","6,408","6,437","6,399","6,383"
Mitchell,Georgia,"20,275","20,345","20,612","21,093","21,266","21,620","22,050","22,603","22,935","23,325","23,615","23,932"
Monroe,Georgia,"17,113","17,209","17,716","18,151","18,666","19,122","19,649","20,097","20,431","20,831","21,430","21,757"
Montgomery,Georgia,"7,379","7,403","7,489","7,594","7,729","7,822","7,804","7,885","8,028","8,022","8,215","8,270"
Morgan,Georgia,"12,883","12,943","13,061","13,241","13,534","13,662","13,952","14,089","14,430","14,976","15,274","15,457"
Murray,Georgia,"26,147","26,344","27,257","27,989","28,681","29,497","30,649","31,733","32,993","34,041","35,495","36,506"
Muscogee,Georgia,"179,280","179,824","180,114","186,753","187,153","188,259","186,125","185,005","185,808","185,756","185,734","186,291"
Newton,Georgia,"41,808","42,045","43,472","44,447","46,067","47,942","50,004","52,158","54,495","56,994","59,506","62,001"
Oconee,Georgia,"17,618","17,820","18,422","18,907","19,650","20,694","21,819","23,104","24,061","24,706","25,637","26,225"
Oglethorpe,Georgia,"9,763","9,822","10,030","10,326","10,632","10,862","11,140","11,274","11,772","12,083","12,312","12,635"
Paulding,Georgia,"41,611","42,004","44,525","46,992","51,008","55,114","58,983","63,013","67,636","72,444","77,863","81,678"
Peach,Georgia,"21,189","21,225","21,179","21,550","21,726","22,015","22,111","22,352","22,591","23,025","23,348","23,668"
Pickens,Georgia,"14,432","14,510","14,849","15,122","15,643","16,487","17,127","18,046","19,167","20,420","21,840","22,983"
Pierce,Georgia,"13,328","13,396","13,418","13,509","13,841","14,236","14,548","14,938","15,138","15,364","15,387","15,636"
Pike,Georgia,"10,224","10,317","10,557","10,541","10,632","11,014","11,437","11,767","12,336","12,829","13,312","13,688"
Polk,Georgia,"33,815","33,873","34,300","34,598","34,695","35,182","35,587","36,204","36,945","37,452","37,812","38,127"
Pulaski,Georgia,"8,108","8,148","8,184","8,326","8,548","8,713","8,811","8,931","9,117","9,377","9,458","9,588"
Putnam,Georgia,"14,137","14,272","14,730","15,023","15,413","15,755","16,248","16,806","17,235","17,997","18,667","18,812"
Quitman,Georgia,"2,210","2,216","2,253","2,273","2,334","2,401","2,455","2,542","2,567","2,596","2,563","2,598"
Rabun,Georgia,"11,648","11,721","11,926","12,120","12,388","12,667","13,229","13,722","14,050","14,311","14,798","15,050"
Randolph,Georgia,"8,023","8,020","8,110","8,043","8,060","8,002","7,931","7,848","7,820","7,793","7,827","7,791"
Richmond,Georgia,"189,719","190,689","196,040","204,164","199,234","200,402","200,027","198,821","199,120","199,741","199,395","199,775"
Rockdale,Georgia,"54,091","54,656","56,919","58,857","60,440","62,035","64,462","65,576","67,173","68,524","69,214","70,111"
Schley,Georgia,"3,590","3,588","3,549","3,529","3,529","3,591","3,595","3,645","3,646","3,725","3,706","3,766"
Screven,Georgia,"13,842","13,832","13,846","13,943","14,271","14,379","14,573","14,733","15,005","15,157","15,256","15,374"
Seminole,Georgia,"9,010","9,002","9,041","8,996","9,028","9,104","8,897","9,104","9,247","9,325","9,343","9,369"
Spalding,Georgia,"54,457","54,717","55,539","56,222","56,784","57,033","57,313","57,748","57,857","58,041","58,227","58,417"
Stephens,Georgia,"23,436","23,474","23,759","24,028","24,380","24,626","24,917","25,133","25,163","25,291","25,270","25,435"
Stewart,Georgia,"5,654","5,649","5,543","5,502","5,476","5,394","5,366","5,403","5,316","5,309","5,270","5,252"
Sumter,Georgia,"30,232","30,338","30,777","31,214","31,728","31,928","32,000","32,605","32,819","32,755","32,957","33,200"
Talbot,Georgia,"6,524","6,527","6,513","6,551","6,581","6,448","6,395","6,444","6,548","6,553","6,478","6,498"
Taliaferro,Georgia,"1,915","1,908","1,869","1,851","1,841","1,864","1,924","1,991","2,013","2,061","2,050","2,077"
Tattnall,Georgia,"17,722","17,808","18,192","18,632","18,990","19,435","20,133","20,606","21,270","21,575","22,049","22,305"
Taylor,Georgia,"7,642","7,688","7,686","7,769","7,858","8,109","8,333","8,510","8,607","8,710","8,790","8,815"
Telfair,Georgia,"11,000","11,002","11,096","11,674","11,421","11,716","11,766","11,797","11,711","11,842","11,747","11,794"
Terrell,Georgia,"10,653","10,626","10,537","10,469","10,635","10,786","10,855","10,909","10,901","10,911","10,954","10,970"
Thomas,Georgia,"38,943","38,902","39,014","39,345","39,465","39,866","40,919","41,387","42,139","42,407","42,360","42,737"
Tift,Georgia,"34,998","35,071","35,531","35,908","35,851","36,300","36,985","37,370","37,646","37,924","38,234","38,407"
Toombs,Georgia,"24,072","24,121","24,188","24,496","24,706","24,715","25,115","25,565","25,776","25,933","26,016","26,067"
Towns,Georgia,"6,754","6,781","6,909","7,076","7,351","7,525","7,806","8,199","8,459","8,773","9,135","9,319"
Treutlen,Georgia,"5,994","6,012","6,094","6,102","6,177","6,286","6,354","6,429","6,548","6,635","6,702","6,854"
Troup,Georgia,"55,532","55,581","56,357","56,438","56,754","57,240","57,585","58,000","57,971","58,118","58,376","58,779"
Turner,Georgia,"8,703","8,700","8,830","8,710","8,985","9,035","8,987","9,230","9,324","9,413","9,460","9,504"
Twiggs,Georgia,"9,806","9,841","9,813","9,788","9,828","9,988","10,185","10,064","10,019","10,367","10,548","10,590"
Union,Georgia,"11,993","12,066","12,368","12,849","13,143","13,505","14,258","14,811","15,570","16,264","16,858","17,289"
