,April 1 Census 2010,April 1 Estimates Base 2010,July 1 2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
".Pike County, Georgia","17,869","17,873","17,922","17,785","17,770","17,774","17,765","17,925","17,897","18,204","18,647","18,962"
".Polk County, Georgia","41,475","41,495","41,547","41,281","41,101","40,977","40,879","41,207","41,555","41,818","42,346","42,613"
".Pulaski County, Georgia","12,010","11,999","11,969","11,839","11,699","11,563","11,509","11,395","11,288","11,181","11,080","11,137"
".Putnam County, Georgia","21,218","21,218","21,191","21,240","21,133","21,280","21,143","21,307","21,515","21,692","21,820","22,119"
".Quitman County, Georgia","2,513","2,510","2,512","2,453","2,406","2,367","2,285","2,275","2,320","2,333","2,260","2,299"
".Rabun County, Georgia","16,276","16,273","16,277","16,257","16,304","16,184","16,158","16,223","16,465","16,545","16,857","17,137"
".Randolph County, Georgia","7,719","7,721","7,668","7,567","7,308","7,201","7,314","7,150","7,155","6,969","6,812","6,778"
".Richmond County, Georgia","200,549","200,594","201,115","200,568","201,742","201,335","201,287","201,451","201,949","201,673","201,667","202,518"
".Rockdale County, Georgia","85,215","85,169","85,354","85,409","85,427","86,480","87,164","88,354","88,987","89,843","90,505","90,896"
".Schley County, Georgia","5,010","5,013","5,020","5,044","5,024","5,095","5,189","5,209","5,173","5,235","5,230","5,257"
".Screven County, Georgia","14,593","14,594","14,501","14,405","14,168","14,145","14,002","14,059","14,003","13,956","13,960","13,966"
".Seminole County, Georgia","8,729","8,729","8,727","8,767","8,871","8,848","8,603","8,565","8,427","8,253","8,270","8,090"
".Spalding County, Georgia","64,073","64,109","64,096","64,044","63,691","63,508","63,692","63,818","64,546","65,358","66,107","66,703"
".Stephens County, Georgia","26,175","26,153","26,117","25,750","25,703","25,551","25,406","25,446","25,637","25,736","26,007","25,925"
".Stewart County, Georgia","6,058","6,060","6,102","6,067","6,109","5,559","5,887","5,973","6,122","6,314","6,435","6,621"
".Sumter County, Georgia","32,819","32,815","32,684","32,068","31,582","31,335","31,161","30,696","30,403","29,901","29,796","29,524"
".Talbot County, Georgia","6,865","6,890","6,880","6,850","6,640","6,554","6,534","6,498","6,366","6,256","6,290","6,195"
".Taliaferro County, Georgia","1,717","1,717","1,703","1,705","1,674","1,690","1,693","1,642","1,611","1,613","1,612","1,537"
".Tattnall County, Georgia","25,520","25,510","25,475","25,436","25,463","25,635","25,321","25,387","25,342","25,409","25,485","25,286"
".Taylor County, Georgia","8,906","8,909","8,777","8,440","8,361","8,380","8,380","8,243","8,189","8,110","8,020","8,020"
".Telfair County, Georgia","16,500","16,490","16,518","16,243","16,367","16,633","16,454","16,451","15,962","15,929","15,974","15,860"
".Terrell County, Georgia","9,315","9,507","9,526","9,392","9,225","9,165","9,079","9,013","8,861","8,695","8,587","8,531"
".Thomas County, Georgia","44,720","44,723","44,747","44,590","44,528","44,770","44,765","44,796","44,950","44,619","44,334","44,451"
".Tift County, Georgia","40,118","40,136","40,251","41,159","40,945","40,180","40,453","40,536","40,554","40,431","40,542","40,644"
".Toombs County, Georgia","27,223","27,170","27,244","27,195","27,168","27,189","27,135","27,150","27,121","26,859","26,902","26,830"
".Towns County, Georgia","10,471","10,477","10,535","10,580","10,563","10,787","11,084","11,212","11,419","11,553","11,866","12,037"
".Treutlen County, Georgia","6,885","6,883","6,894","6,824","6,789","6,687","6,811","6,803","6,710","6,746","6,813","6,901"
".Troup County, Georgia","67,044","67,040","67,054","67,629","68,282","68,801","69,278","69,595","69,939","70,062","70,078","69,922"
".Turner County, Georgia","8,930","8,933","8,910","8,940","8,445","8,206","8,066","7,982","7,944","7,895","7,908","7,985"
".Twiggs County, Georgia","9,023","9,026","8,973","8,827","8,552","8,516","8,392","8,347","8,249","8,253","8,174","8,120"
".Union County, Georgia","21,356","21,358","21,370","21,252","21,328","21,424","21,764","22,007","22,640","23,376","23,905","24,511"
".Upson County, Georgia","27,153","27,149","27,054","26,920","26,562","26,421","26,161","26,231","26,245","26,201","26,185","26,320"
".Walker County, Georgia","68,756","68,738","68,870","68,801","68,452","68,594","68,659","68,537","68,455","68,999","69,443","69,761"
".Walton County, Georgia","83,768","83,806","83,992","84,630","84,975","86,041","87,526","88,333","89,786","91,296","93,202","94,593"
".Ware County, Georgia","36,312","36,298","36,308","36,274","35,893","35,743","35,513","35,327","35,648","35,668","35,587","35,734"
".Warren County, Georgia","5,834","5,834","5,782","5,677","5,544","5,518","5,458","5,374","5,345","5,265","5,247","5,254"
".Washington County, Georgia","21,187","21,182","21,093","20,969","20,790","20,573","20,548","20,736","20,347","20,311","20,410","20,374"
".Wayne County, Georgia","30,099","30,097","30,074","30,294","30,320","29,990","29,891","29,430","29,974","29,797","29,810","29,927"
".Webster County, Georgia","2,799","2,799","2,781","2,764","2,765","2,669","2,611","2,631","2,616","2,589","2,606","2,607"
".Wheeler County, Georgia","7,421","7,431","7,769","8,079","7,933","7,935","7,984","7,911","8,015","7,960","7,898","7,855"
".White County, Georgia","27,144","27,139","27,203","27,401","27,626","27,830","28,021","28,387","28,828","29,445","29,988","30,798"
".Whitfield County, Georgia","102,599","102,605","102,745","102,920","102,948","102,728","103,083","103,669","104,406","104,234","104,249","104,628"
".Wilcox County, Georgia","9,255","9,256","9,314","9,252","9,074","9,061","8,937","9,024","8,841","8,791","8,827","8,635"
".Wilkes County, Georgia","10,593","10,593","10,388","10,229","10,086","9,920","9,949","9,911","9,809","9,860","9,864","9,777"
".Wilkinson County, Georgia","9,563","9,570","9,529","9,416","9,484","9,363","9,284","9,080","9,020","8,954","9,043","8,954"
".Worth County, Georgia","21,679","21,667","21,692","21,512","21,349","21,052","21,006","20,688","20,703","20,528","20,302","20,247"
